"message_from","tweet_count"
"Yuruinspires",17
"emurphyisntdead",17
"uncoolbobby",17
"ernieyacub",17
"stephlef",17
"euronews",17
"terrymslobodian",17
"FELDart",17
"Still4Hill",17
"firesideint",17
"unfoundation",17
"gabalaui",17
"aisha1908",17
"Houseonahillorg",17
"29seconds___",17
"JustinTwiterLan",17
"activistgirl",17
"Kenold",17
"CARE_package",17
"LaurentP_Robert",17
"amadasommer",17
"luvmenow2",17
"chela816",17
"MrsBoo2u",17
"amfan_jenny",17
"planetrussell",17
"pleasur",17
"PoliticalJones",17
"PatriciaKellogg",17
"rabbitandcrow",17
"rleseberg",17
"Rob_Madden",17
"AngelaChenShui",16
"eHuggy",16
"BobTSUC",16
"enjaysauce",16
"Aabaakawad",16
"Esmas_com",16
"aurich109",16
"guerillamonk",16
"1xl",16
"IDFinHaiti",16
"tatn",16
"ifionlyhdabrain",16
"symplesolutions",16
"ird_relief",16
"shandev",16
"Jim_Gray",16
"Sonja_Jo",16
"JoannaSimkin",16
"tommatzzie",16
"keidelism",16
"sistrbride",16
"KendalLo",16
"urbananimal",16
"kevynathalie",16
"LivingSafely",16
"LJSearles",16
"Mr_Sak_Pase",16
"pigtailpals",16
"PoemTrees",16
"poeticdreaming",16
"watergatesummer",15
"danwibg",15
"shaifranklin",15
"drk_lvsa",15
"cosmoweb",15
"emmymason",15
"crystl37",15
"esjournalist",15
"blogdiva",15
"FortMacTux",15
"1queen2princes",15
"FranceGlobal",15
"AvrilBenoit",15
"GigiGraciette",15
"Cheli_C",15
"HashTagForHaiti",15
"AMCAC09",15
"holdenpierre",15
"BarbRad",15
"icrcnews",15
"ClaireInParis",15
"Irant",15
"JdamonLive",15
"JonHutson",15
"keysygirl",15
"KJJargon28",15
"maristelabairro",15
"melindayiti",15
"meowtree",15
"MiaAlien",15
"mimisallmusic",15
"OremosporHaiti",15
"robsteadman",15
"cosmoalien",14
"daniellean",14
"cubadebate",14
"DANY1991",14
"Akashitakosabur",14
"ElyssaD",14
"1D4TW",14
"en2ge",14
"AlertNet",14
"GiftIdeasHelper",14
"anthonystevens4",14
"Gryffinator",14
"_AlexisZ",14
"haiticoalition",14
"AriaaJaeger",14
"iranangel",14
"CarmencitaB",14
"IstanbulTWSTVL",14
"altheamarie",14
"JonUPS",14
"Barack_On_Blast",14
"justin_kirkes",14
"ciphersankofa",14
"keepitnappy",14
"aidg",14
"mimonette",14
"ZEROGreenhouse",14
"Mr_Imposs",14
"TrendyBindi",14
"NahumG",14
"stafanimilano",14
"orlandojm",14
"winner_nana",14
"oxfamgb",14
"SwagDonors",14
"SarkASStiKo",14
"TwaddictsRUs",14
"DBoulard",13
"YourHappyHelper",13
"dianapop",13
"sukitink",13
"djdiaz",13
"unicefusa",13
"ericamayer",13
"Tim_M_Martin",13
"ExamineDisaster",13
"warmspring",13
"faab64",13
"USAID_Haiti",13
"francoordonez",13
"ultimoscambios",13
"georgeshenry",13
"usuyu",13
"Greytdog",13
"usaid_news",13
"H1202",13
"Andrew_Hardison",13
"Indexma",13
"birgere",13
"isa97",13
"AngieWrites",13
"Jenndwag",13
"annagueye",13
"J_Hebert",13
"BongNews",13
"jmayville",13
"brimcmike",13
"khandelinn",13
"Carol_Waters",13
"kiliffe",13
"chucksimmins",13
"lavitabella12",13
"belfastangel",13
"Louisoxfam",13
"MamaHuesitoS",13
"MaMoosie",13
"Marrrrcussss",13
"mentalORGASM",13
"mparent77772",13
"MrPilikia",13
"msincognitio",13
"MzFortune",13
"najeebasyeed",13
"NorthwestFire",13
"newsmatt",13
"NOLABelle83",13
"pdjmoo",13
"Permreps_UNRome",13
"Phridee",13
"PlanNederland",13
"raffale",13
"royatkinson",13
"saintpaul007",13
"72mangos",12
"darkpoltweeter",12
"AKESweetie",12
"delcorsi",12
"BOILING_SKIES",12
"devlar14freedom",12
"adaptanita",12
"dirtundermanail",12
"Annie_saw",12
"_drewski",12
"AlexanderFB",12
"DruidSmith",12
"brukins",12
"EdPomfret",12
"cafeconpoetry",12
"ember29",12
"CapoDaBoss",12
"el_pais",12
"1ststarfighter",12
"EuropaSurvey",12
"Carmilla5",12
"haiti_help",12
"awakeningaimee",12
"Haute_flashes",12
"_amalee",12
"HechosAM",12
"CheriDouglas",12
"hhbsunshine",12
"cindyscottage",12
"HonoReg",12
"aMMPh",12
"igonzalezh",12
"CornerAlliance",12
"ISOHIMPACT",12
"zorinsmom",12
"itsChance",12
"tuiti25",12
"jamiesw",12
"tkarow",12
"JamilSmith",12
"thesilentdove",12
"jchernandezjazz",12
"Survivors_haiti",12
"JeffLennox",12
"sknyjohn",12
"kneissler",12
"StudioBuzzBox",12
"koraliedw",12
"KPMcDonald",12
"MayaBuzzBox",12
"MelindaWeekes",12
"memoriadei",12
"miamiherald",12
"MSF_uk",12
"mytwobestbuds",12
"savethechildren",12
"redgehomes",12
"OxfamIreland",12
"OSzlos",12
"Niteowl009",12
"PencilsOfPromis",12
"RayBeckerman",12
"redindhi",12
"redsalvavidas",12
"robotec",12
"rvetrovec",12
"safeworld4women",12
"ysbee",11
"dburg_2002",11
"thereisawayjose",11
"dfid_uk",11
"slackadjuster",11
"dhkelley",11
"solysolz",11
"Dirk2112",11
"WildJunket",11
"dlayphoto",11
"SweetSoaps",11
"DominiqueRdr",11
"Sweetie3012",11
"DreamySim1",11
"vquirosv",11
"EBRINDLEY",11
"thehaitian",11
"EDUCATIONCEO",11
"timradioboy",11
"emynameisemma",11
"yveno76",11
"featherchick",11
"craftygurltoo",11
"film58",11
"CrisisCampMTL",11
"flipbooks",11
"6c4",11
"Floridagordon",11
"blacklooks",11
"foto8",11
"bluecorp",11
"FotografenActie",11
"Bluesake",11
"fpmarin",11
"boa_muenchen",11
"GlobalGiving",11
"anndunagan",11
"goldlis",11
"AdvertisingLaw",11
"hackernewbie",11
"cbntaRMNP",11
"Haitifeed",11
"CelesteTFans",11
"HelpHaitiInfos",11
"BaghdadBrian",11
"hopelessbkwrm",11
"christian_aid",11
"JAlanGrey",11
"ckshih",11
"jeffcourter",11
"CoffeebreakDMV",11
"JOHN_ICEKNIFE",11
"AidHaiti",11
"jvillalpandoc",11
"Kalimakhus",11
"KYHaitiRelief",11
"LadysHoodJnl",11
"lakesunrise",11
"lettersandessay",11
"letmesigndotcom",11
"LisandroSuero",11
"LizWhitney",11
"LLA2931",11
"LoriHCG",11
"MDHousesblog",11
"Miridunn",11
"montserratlj",11
"MrsJGreen",11
"MSF_canada",11
"Ms_Menondji",11
"murmur55",11
"mysticdusk",11
"NajaB",11
"Narco_News",11
"publikaccion",11
"oxfam",11
"PastorPaul",11
"peggymcquay007",11
"PhoenixRising4O",11
"Phoebe1_",11
"philmarrese",11
"RammaDamma",11
"raquelwilson",11
"PublicAdvocacy",11
"RedCrossOPC",11
"RIElliott",11
"sablikatriumph",11
"alejandriitogp",10
"DAKGirl",10
"AntoniaZ",10
"daroff",10
"buzz_tweet_fr",10
"DominiqueBeland",10
"30HRFamine",10
"eadvocate",10
"AdmiralJSparrow",10
"Edpilkington",10
"almeyda64",10
"EduardoCBraga",10
"AtlantaJJ",10
"ernesto_floripa",10
"AbbyCe",10
"etnos",10
"chasing4life",10
"freuter",10
"barbiesnow",10
"FSUROCKER",10
"amieemccaffrey",10
"GDaBaLLa",10
"ClimateChangeOH",10
"gillyarcht",10
"cnalive",10
"GreenPost",10
"conneally",10
"gurryjack",10
"yahoo_shopping",10
"Halibutron",10
"Zappattazz",10
"hashtager",10
"stevegiglio",10
"helpage",10
"SupSappel",10
"HyoYoshikawa",10
"vlampomeister95",10
"iHateChurch",10
"springcolors",10
"imagine797",10
"shoshido",10
"ikeoo",10
"thomas_hardman",10
"IsraeliAid",10
"unclematt",10
"itslittlethings",10
"usembassyottawa",10
"JasonLeopold",10
"SurvivingAbuse",10
"jhod",10
"teamoncology",10
"jimlegge",10
"unicef_red",10
"JohnCollison",10
"joseph_dee",10
"JULIANBRAY",10
"KazzieLB",10
"keithkall",10
"kinaton",10
"lteodosio",10
"madkentdragon",10
"Maria_JAC",10
"MARIOLACOREGA",10
"MarxismoOnline",10
"MDHouses",10
"MizFurball",10
"Mite_Nishio",10
"MzYun",10
"naaaturally",10
"seansanderson",10
"NoPaula__NoIdol",10
"oflynn",10
"o_lucky_me",10
"oxfamscotland",10
"pablo_zuniga",10
"PHCTInfoJpn",10
"PowerByService",10
"perthtones",10
"petezin",10
"Power2Improve",10
"regelmama",10
"rlizares",10
"RIRYE77",10
"rosamariatorres",10
"ronjohn78",10
"RubiaBella817",10
"sarahbhaiti",10
"sarchet62",10
"yagbebi",9
"danroy1002",9
"yellowshark",9
"DebbyBruck",9
"your_mssunshine",9
"DVIDSHub",9
"TudoAoContrario",9
"eebiesgirl",9
"slave2mybulldog",9
"elleameno",9
"stcuk",9
"ersle",9
"Thoraldo",9
"Fanofrob",9
"usairforce",9
"freddywaller51",9
"Sue_Flay",9
"fukamihiroshi",9
"usuyu_eng",9
"Galrahn",9
"swellyn",9
"geofflapptrio",9
"starslove4",9
"GillesCollette",9
"tetoroa",9
"GordonJayFrost",9
"theporscheofoz",9
"HaidaPrincess",9
"techniCOWL",9
"haitivolunteer",9
"triratnai",9
"happy06295",9
"Trobass",9
"HansRodriguez",9
"UnderTheBoTree",9
"SavetChildren",9
"USEmbPretoria",9
"HeidiEKMassey",9
"shirleykaiser",9
"iAmAFROBELLA",9
"shirdl",9
"ianwardle",9
"WMLcataloger",9
"ilovemytroops",9
"stunetii",9
"javiergracia",9
"slkbrooke",9
"jg6jav",9
"StatusLive",9
"jgombita",9
"StarCelebrities",9
"jhoncarrillo",9
"Thewritersays",9
"jiminthemorning",9
"TJ_Robinson",9
"jmgall",9
"TravelIndustry",9
"Joey19912",9
"solidadrocks",9
"juanlabrin",9
"TheOnlyKC",9
"Julyssaaa",9
"cricri2k",9
"jussarapordeus",9
"Anddiswa",9
